Country,Capital,Latitude,Longitude,COD3
Italy,Rome,41.902784,12.496366,ITA
Jamaica,Kingston,18.042327,-76.802893,JAM
Japan,Tokyo,35.709026,139.731992,JPN
Jersey,St. Helier,49.186823,-2.106568,JEY
Jordan,Amman,31.956578,35.945695,JOR
Kazakhstan,Astana,51.160523,71.470356,KAZ
Kenya,Nairobi,-1.292066,36.821946,KEN
Kiribati,Tarawa Atoll,1.451817,172.971662,
Kosovo,Pristina,42.662914,21.165503,KOS
Kuwait,Kuwait City,29.375859,47.977405,KWT
Kyrgyzstan,Bishkek,42.874621,74.569762,KGZ
Laos,Vientiane,17.975706,102.633104,LAO
Latvia,Riga,56.949649,24.105186,LVA
Lebanon,Beirut,33.888629,35.495479,LBN
Lesotho,Maseru,-29.363219,27.51436,LSO
Liberia,Monrovia,6.290743,-10.760524,LBR
Libya,Tripoli,32.887209,13.191338,LBY
Liechtenstein,Vaduz,47.14103,9.520928,LIE
Lithuania,Vilnius,54.687156,25.279651,LTU
Luxembourg,Luxembourg,49.611621,6.131935,LUX
Macau,Macau,22.166667,113.55,
North Macedonia (FYROM),Skopje,41.997346,21.427996,MKD
Madagascar,Antananarivo,-18.87919,47.507905,MDG
Malawi,Lilongwe,-13.962612,33.774119,MWI
Malaysia,Kuala Lumpur,3.139003,101.686855,
Maldives,Malé,4.175496,73.509347,
Mali,Bamako,12.639232,-8.002889,
Malta,Valletta,35.898909,14.514553,MLT
Marshall Islands,Majuro,7.116421,171.185774,
Martinique,Fort-de-France,14.616065,-61.05878,
Mauritania,Nouakchott,18.07353,-15.958237,
Mauritius,Port Louis,-20.166896,57.502332,
Mayotte,Mamoudzou,-12.780949,45.227872,
Mexico,Mexico City,19.432608,-99.133208,MEX
Micronesia,Palikir,6.914712,158.161027,
Moldova,Chisinau,47.010453,28.86381,MDA
Monaco,Monaco,43.737411,7.420816,MCO
Mongolia,Ulaanbaatar,47.886399,106.905744,MNG
Montenegro,Podgorica,42.43042,19.259364,MNE
Montserrat,Plymouth,16.706523,-62.215738,MSR
Morocco,Rabat,33.97159,-6.849813,MAR
Mozambique,Maputo,-25.891968,32.605135,
Myanmar (Burma),Naypyidaw,19.763306,96.07851,
Nagorno-Karabakh Republic,Stepanakert,39.826385,46.763595,
Namibia,Windhoek,-22.560881,17.065755,
Nauru,Yaren,-0.546686,166.921091,
Nepal,Kathmandu,27.717245,85.323961,
Netherlands,Amsterdam,52.370216,4.895168,NLD
Netherlands Antilles,Willemstad ,12.1091242,-68.9316546,
New Caledonia,Nouméa,-22.255823,166.450524,
New Zealand,Wellington,-41.28646,174.776236,NZL
Nicaragua,Managua,12.114993,-86.236174,
Niger,Niamey,13.511596,2.125385,
Nigeria,Abuja,9.076479,7.398574,
Niue,Alofi,-19.055371,-169.917871,
Norfolk Island,Kingston,-29.056394,167.959588,
North Korea,Pyongyang,39.039219,125.762524,
Northern Cyprus,Nicosia,35.185566,33.382276,CYN
Northern Mariana Islands,Saipan,15.177801,145.750967,
Norway,Oslo,59.913869,10.752245,NOR
Oman,Muscat,23.58589,58.405923,OMN
Pakistan,Islamabad,33.729388,73.093146,PAK
Palau,Ngerulmud,7.500384,134.624289,
Palestine,Ramallah,31.9073509,35.5354719,PSX
Panama,Panama City,9.101179,-79.402864,PAN
Papua New Guinea,Port Moresby,-9.4438,147.180267,PNG
Paraguay,Asuncion,-25.26374,-57.575926,PRY
Peru,Lima,-12.046374,-77.042793,PER
Philippines,Manila,14.599512,120.98422,
Pitcairn Islands,Adamstown,-25.06629,-130.100464,
Poland,Warsaw,52.229676,21.012229,POL
Portugal,Lisbon,38.722252,-9.139337,PRT
Puerto Rico,San Juan,18.466334,-66.105722,
Qatar,Doha,25.285447,51.53104,
Réunion,Saint-Denis,-20.882057,55.450675,
Romania,Bucharest,44.426767,26.102538,ROU
Russia,Moscow,55.755826,37.6173,RUS
Rwanda,Kigali,-1.957875,30.112735,
Saint Pierre and Miquelon,St. Pierre,46.775846,-56.180636,
Saint Vincent and the Grenadines,Kingstown,13.160025,-61.224816,
Samoa,Apia,-13.850696,-171.751355,
San Marino,San Marino,43.935591,12.447281,SMR
São Tomé and Príncipe,São Tomé,0.330192,6.733343,
Saudi Arabia,Riyadh,24.749403,46.902838,SAU
Senegal,Dakar,14.764504,-17.366029,SEN
Serbia,Belgrade,44.786568,20.448922,SRB
Seychelles,Victoria,-4.619143,55.451315,
Sierra Leone,Freetown,8.465677,-13.231722,
Singapore,Singapore,1.280095,103.850949,SGP
Slovakia,Bratislava,48.145892,17.107137,SVK
Slovenia,Ljubljana,46.056947,14.505751,SVN
Solomon Islands,Honiara,-9.445638,159.9729,
Somalia,Mogadishu,2.046934,45.318162,SOM
South Africa,Pretoria,-25.747868,28.229271,
South Georgia and the South Sandwich Islands,King Edward Point,-54.28325,-36.493735,
South Korea,Seoul,37.566535,126.977969,KOR
South Ossetia,Tskhinvali,42.22146,43.964405,
South Sudan,Juba,4.859363,31.57125,
Spain,Madrid,40.416775,-3.70379,ESP
Sri Lanka,Sri Jayawardenepura Kotte,6.89407,79.902478,
St. Barthélemy,Gustavia,17.896435,-62.852201,
St. Kitts and Nevis,Basseterre,17.302606,-62.717692,
St. Lucia,Castries,14.010109,-60.987469,
St. Martin,Marigot,18.067519,-63.082466,
Sudan,Khartoum,15.500654,32.559899,
Suriname,Paramaribo,5.852036,-55.203828,
Svalbard and Jan Mayen,Longyearbyen,78.062,22.055,
Swaziland,Mbabane,-26.305448,31.136672,
Sweden,Stockholm,59.329323,18.068581,SWE
Switzerland,Bern,46.947974,7.447447,CHE
Syria,Damascus,33.513807,36.276528,SYR
Taiwan,Taipei,25.032969,121.565418,TWN
Tajikistan,Dushanbe,38.559772,68.787038,
Tanzania,Dodoma,-6.162959,35.751607,
Thailand,Bangkok,13.756331,100.501765,
Timor-Leste,Dili,-8.556856,125.560314,
Togo,Lomé,6.172497,1.231362,
Tokelau,Nukunonu,-9.2005,-171.848,
Tonga,Nukuʻalofa,-21.139342,-175.204947,
Transnistria,Tiraspol,46.848185,29.596805,
Trinidad and Tobago,Port of Spain,10.654901,-61.501926,
Tristan da Cunha,Edinburgh of the Seven Seas,-37.068042,-12.311315,
Tunisia,Tunis,36.806495,10.181532,TUN
Turkey,Ankara,39.933364,32.859742,TUR
Turkmenistan,Ashgabat,37.960077,58.326063,
Turks and Caicos Islands,Cockburn Town,21.467458,-71.13891,
Tuvalu,Funafuti,-8.520066,179.198128,
U.S. Virgin Islands,Charlotte Amalie,18.3419,-64.930701,
Uganda,Kampala,0.347596,32.58252,
Ukraine,Kiev,50.4501,30.5234,UKR
United Arab Emirates,Abu Dhabi,24.299174,54.697277,ARE
United Kingdom,London,51.507351,-0.127758,GBR
United States,Washington,38.907192,-77.036871,USA
Uruguay,Montevideo,-34.901113,-56.164531,
Uzbekistan,Tashkent,41.299496,69.240073,
Vanuatu,Port Vila,-17.733251,168.327325,
Vatican City,Vatican City,41.702179,12.253601,VAT
Venezuela,Caracas,10.480594,-66.903606,
Vietnam,Hanoi,21.027764,105.83416,
Wallis and Futuna,Mata-Utu,-13.282509,-176.176447,VNM
Western Sahara,El Aaiún,27.125287,-13.1625,
Yemen,Sana'a,15.369445,44.191007,
Zambia,Lusaka,-15.387526,28.322817,
Zimbabwe,Harare,-17.825166,31.03351,
